SK_ID_BUREAU,MONTHS_BALANCE,STATUS
5715565,-25,0
5715565,-26,X
5715565,-27,X
5715565,-28,0
5715565,-29,X
5715565,-30,X
5715793,-20,X
5715793,-21,0
5715793,-22,0
5715793,-23,0
5715793,-24,0
5715793,-25,0
5715793,-26,0
5715793,-27,0
5715793,-28,0
5715793,-29,0
5715793,-30,0
5715793,-31,0
5715793,-32,0
5715793,-33,0
5715793,-34,0
5715793,-35,0
5715793,-36,0
5715793,-37,0
5715793,-38,0
5715793,-39,1
5715793,-40,1
5715793,-41,0
5715793,-42,0
5715793,-43,1
5715793,-44,0
5715793,-45,0
5715793,-46,0
5715793,-47,0
5715794,-43,X
5715794,-44,0
5715794,-45,0
5715794,-46,0
5715794,-47,0
5715794,-48,0
5715794,-49,0
5715795,-11,X
5715795,-12,0
5715795,-13,0
5715795,-14,0
5715795,-15,0
5715795,-16,0
5715795,-17,0
5715795,-18,0
5715795,-19,0
5715795,-20,0
5715795,-21,0
5715795,-22,0
5715795,-23,0
5715795,-24,0
5715795,-25,0
5715795,-26,0
5715795,-27,0
5715795,-28,0
5715795,-29,0
5715795,-30,1
5715795,-31,1
5715795,-32,0
5715795,-33,0
5715795,-34,1
5715795,-35,0
5715795,-36,0
5715795,-37,0
5715795,-38,0
5715796,-10,X
5715796,-11,0
5715796,-12,0
5715796,-13,0
5715796,-14,0
5715796,-15,0
5715796,-16,0
5715796,-17,0
5715796,-18,0
5715796,-19,0
5715796,-20,0
5715796,-21,0
5715796,-22,0
5715796,-23,0
5715796,-24,0
5715796,-25,0
5715796,-26,0
5715796,-27,0
5715796,-28,0
5715796,-29,1
5715796,-30,1
5715796,-31,0
5715796,-32,0
5715796,-33,1
5715796,-34,0
5715796,-35,0
5715796,-36,0
5715796,-37,0
5715797,0,0
5715797,-1,1
5715797,-2,1
5715797,-3,0
5715797,-4,0
5715797,-5,0
5715797,-6,0
5715797,-7,2
5715797,-8,1
5715797,-9,0
5715797,-10,0
5715797,-11,1
5715797,-12,0
5715797,-13,1
5715797,-14,2
5715797,-15,1
5715797,-16,1
5715797,-17,0
5715797,-18,0
5715797,-19,1
5715797,-20,0
5715797,-21,1
5715797,-22,0
5715797,-23,1
5715797,-24,0
5715797,-25,0
5715797,-26,0
5717347,-18,0
5717347,-19,0
5717347,-20,0
5717347,-21,0
5717347,-22,0
5717347,-23,0
5717347,-24,0
5717347,-25,0
5717347,-26,0
5717348,0,1
5717348,-1,0
5717348,-2,0
5717348,-3,0
5717348,-4,0
5717348,-5,0
5717348,-6,0
5717348,-7,0
5717348,-8,0
5717356,-35,C
5717356,-36,C
5717356,-37,C
5717356,-38,C
5717356,-39,C
5717356,-40,C
5717356,-41,C
5717356,-42,C
5717356,-43,C
5717356,-44,C
5717356,-45,C
5717356,-46,C
5717356,-47,C
5717356,-48,C
5717356,-49,C
5717356,-50,C
5717356,-51,C
5717356,-52,C
5717356,-53,C
5717356,-54,C
5717356,-55,C
5717356,-56,C
5717356,-57,C
5717356,-58,C
5717356,-59,0
5717356,-60,0
5717356,-61,0
5717356,-62,0
5717356,-63,0
5717356,-64,0
5717358,0,C
5717358,-1,C
5717358,-2,C
5717358,-3,C
5717358,-4,C
5717358,-5,C
5717358,-6,C
5717358,-7,C
5717358,-8,C
5717358,-9,C
5717358,-10,C
5717358,-11,C
5717358,-12,C
5717358,-13,C
5717358,-14,C
5717358,-15,C
5717358,-16,C
5717358,-17,C
5717358,-18,C
5717358,-19,C
5717358,-20,C
5717358,-21,C
5717358,-22,C
5717358,-23,C
5717358,-24,0
5717358,-25,0
5717358,-26,0
5717358,-27,0
5717360,0,X
5717360,-1,X
5717360,-2,X
5717360,-3,X
5717360,-4,0
5717360,-5,X
5717360,-6,X
5717360,-7,X
5717360,-8,0
5717360,-9,X
5717360,-10,0
5717360,-11,X
5717360,-12,X
5717360,-13,X
5717360,-14,0
5717360,-15,0
5717363,-42,C
5717363,-43,C
5717363,-44,C
5717363,-45,C
5717363,-46,C
5717363,-47,C
5717363,-48,C
5717363,-49,C
5717363,-50,C
5717363,-51,C
5717363,-52,C
5717363,-53,C
5717363,-54,C
5717363,-55,C
5717363,-56,C
5717363,-57,C
5717363,-58,C
5717363,-59,C
5717363,-60,C
5717363,-61,C
5717363,-62,C
5717363,-63,C
5717363,-64,C
5717363,-65,C
5717363,-66,C
5717363,-67,C
5717363,-68,C
5717363,-69,C
5717363,-70,C
5717363,-71,C
5717363,-72,C
5717363,-73,C
5717363,-74,C
5717363,-75,C
5717363,-76,C
5717363,-77,C
5717363,-78,C
5717363,-79,C
5717363,-80,C
5717363,-81,C
5717363,-82,C
5717363,-83,0
5717363,-84,0
5717363,-85,0
5717363,-86,0
5717363,-87,0
5717363,-88,0
5717363,-89,0
5717363,-90,0
5717363,-91,X
5717364,-29,C
5717364,-30,C
5717364,-31,C
5717364,-32,C
5717364,-33,C
5717364,-34,C
5717364,-35,C
5717364,-36,C
5717364,-37,C
5717364,-38,C
5717364,-39,C
5717364,-40,C
5717364,-41,C
5717364,-42,C
5717364,-43,C
5717364,-44,C
5717364,-45,C
5717364,-46,C
5717364,-47,C
5717364,-48,C
5717364,-49,C
5717364,-50,C
5717364,-51,C
5717364,-52,C
5717364,-53,C
5717364,-54,C
5717364,-55,C
5717364,-56,C
5717364,-57,C
5717364,-58,C
5717364,-59,C
5717364,-60,C
5717364,-61,C
5717364,-62,C
5717364,-63,C
5717364,-64,C
5717364,-65,C
5717364,-66,C
5717364,-67,C
5717364,-68,C
5717364,-69,C
5717364,-70,0
5717364,-71,0
5717364,-72,0
5717364,-73,0
5717364,-74,0
5717364,-75,0
5717364,-76,0
5717364,-77,0
5717364,-78,X
5717365,0,C
5717365,-1,C
5717365,-2,C
5717365,-3,C
5717365,-4,C
5717365,-5,C
5717365,-6,C
5717365,-7,C
5717365,-8,C
5717365,-9,C
5717365,-10,C
5717365,-11,C
5717365,-12,C
5717365,-13,C
5717365,-14,C
5717365,-15,C
5717365,-16,C
5717365,-17,C
5717365,-18,C
5717365,-19,C
5717365,-20,C
5717365,-21,C
5717365,-22,C
5717365,-23,C
5717365,-24,C
5717365,-25,C
5717365,-26,C
5717365,-27,C
5717365,-28,C
5717365,-29,C
5717365,-30,C
5717365,-31,C
5717365,-32,C
5717365,-33,C
5717365,-34,C
5717365,-35,0
5717365,-36,0
5717365,-37,0
5717365,-38,0
5717365,-39,0
5717365,-40,0
5717365,-41,0
5717365,-42,0
5717365,-43,X
5717366,-2,C
5717366,-3,C
5717366,-4,C
5717366,-5,C
5717366,-6,C
5717366,-7,C
5717366,-8,C
5717366,-9,C
5717366,-10,C
5717366,-11,C
5717366,-12,C
5717366,-13,C
5717366,-14,C
5717366,-15,C
5717366,-16,C
5717366,-17,C
5717366,-18,C
5717366,-19,C
5717366,-20,C
5717366,-21,C
5717366,-22,C
5717366,-23,C
5717366,-24,C
5717366,-25,C
5717366,-26,C
5717366,-27,C
5717366,-28,C
5717366,-29,C
5717366,-30,C
5717366,-31,C
5717366,-32,C
5717366,-33,C
5717366,-34,C
5717366,-35,C
5717366,-36,C
5717366,-37,C
5717366,-38,C
5717366,-39,C
5717366,-40,C
5717366,-41,C
5717366,-42,C
5717366,-43,0
5717366,-44,0
5717366,-45,0
5717366,-46,0
5717366,-47,0
5717366,-48,0
5717366,-49,0
5717366,-50,0
5717366,-51,X
5717367,0,C
5717367,-1,C
5717367,-2,C
5717367,-3,C
5717367,-4,C
5717367,-5,C
5717367,-6,C
5717367,-7,C
5717367,-8,C
5717367,-9,C
5717367,-10,C
5717367,-11,C
5717367,-12,C
5717367,-13,C
5717367,-14,C
5717367,-15,C
5717367,-16,C
5717367,-17,C
5717367,-18,C
5717367,-19,C
5717367,-20,C
5717367,-21,C
5717367,-22,C
5717367,-23,C
5717367,-24,C
5717367,-25,C
5717367,-26,0
5717367,-27,0
5717367,-28,0
5717367,-29,0
5717367,-30,0
5717367,-31,0
5717367,-32,0
5717367,-33,0
5717367,-34,X
5717368,0,C
5717368,-1,C
5717368,-2,C
5717368,-3,C
5717368,-4,C
5717368,-5,C
5717368,-6,C
5717368,-7,C
5717368,-8,C
5717368,-9,C
5717368,-10,C
5717368,-11,C
5717368,-12,C
5717368,-13,C
5717368,-14,C
5717368,-15,C
5717368,-16,C
5717368,-17,C
5717368,-18,0
5717368,-19,0
5717368,-20,0
5717368,-21,0
5717368,-22,0
5717368,-23,0
5717368,-24,0
5717368,-25,0
5717368,-26,X
5717369,0,0
5717369,-1,0
5717369,-2,0
5717369,-3,0
5717369,-4,0
5717369,-5,0
5717369,-6,0
5717369,-7,X
5717370,-46,C
5717370,-47,C
5717370,-48,C
5717370,-49,C
5717370,-50,C
5717370,-51,C
5717370,-52,C
5717370,-53,C
5717370,-54,C
5717370,-55,C
5717370,-56,C
5717370,-57,C
5717370,-58,X
5717370,-59,0
5717370,-60,0
5717370,-61,0
5717370,-62,0
5717370,-63,X
5717370,-64,0
5717370,-65,0
5717370,-66,0
5717370,-67,0
5717370,-68,0
5717370,-69,0
5717370,-70,0
5717370,-71,0
5717370,-72,X
5717370,-73,X
5717371,0,C
5717371,-1,C
5717371,-2,C
5717371,-3,C
5717371,-4,C
5717371,-5,C
5717371,-6,C
5717371,-7,C
5717371,-8,C
5717371,-9,C
5717371,-10,C
5717371,-11,C
5717371,-12,C
5717371,-13,C
5717371,-14,C
5717371,-15,C
5717371,-16,C
5717371,-17,C
5717371,-18,C
5717371,-19,C
5717371,-20,C
5717371,-21,C
5717371,-22,C
5717371,-23,0
5717371,-24,0
5717371,-25,0
5717371,-26,0
5717371,-27,0
5717371,-28,0
5717371,-29,0
5717371,-30,0
5717371,-31,0
5717371,-32,0
5717371,-33,0
5717371,-34,0
5717371,-35,0
5717371,-36,0
5717371,-37,0
5717371,-38,0
5717371,-39,0
5717371,-40,0
5717371,-41,0
5717371,-42,0
5717371,-43,0
5717371,-44,0
5717371,-45,0
5717371,-46,0
5717371,-47,0
5717371,-48,0
5717371,-49,0
5717371,-50,0
5717371,-51,0
5717371,-52,0
